municipality,cords
Zonhoven,"50.991928588, 5.376635993"
Sprimont,"50.519204771, 5.666420198"
Saint-Nicolas,"50.632146331, 5.526433882"
Limbourg,"50.61133458, 5.937167751"
Havelange,"50.361179955, 5.248163419"
Beaumont,"50.229313738, 4.259225934"
Aubange,"49.574901455, 5.776974119"
Bouillon,"49.805989674, 5.083195503"
La Louvière,"50.473493943, 4.156666862"
Pecq,"50.685158392, 3.356784596"
Leuze-en-Hainaut,"50.597269839, 3.628784204"
Frasnes-lez-Anvaing,"50.682385996, 3.600705805"
Chièvres,"50.571182535, 3.78394067"
Bruges,"51.248878837, 3.214407515"
Kortemark,"51.024780393, 3.001779656"
La Panne,"51.080711142, 2.588304125"
Ypres,"50.854338205, 2.866468935"
Gand,"51.074461757, 3.725529268"
Erpe-Mere,"50.92151481, 3.951965754"
Grammont,"50.779641354, 3.904061574"
Grammont,"50.779641354, 3.904061574"
Maarkedal,"50.795182049, 3.641112203"
Londerzeel,"51.01057744, 4.276403502"
Olen,"51.163459887, 4.885601236"
Rijkevorsel,"51.355158826, 4.767498762"
Tervuren,"50.821621007, 4.524338265"
Kortenaken,"50.893133252, 5.023114614"
Herstappe,"50.726005215, 5.425357963"
Saint-Trond,"50.810337691, 5.202982831"
Pelt,"51.21492909, 5.427213134"
Liège,"50.631779266, 5.590470487"
Chaudfontaine,"50.581446589, 5.633738454"
Eupen,"50.609995684, 6.125507715"
Burg-Reuland,"50.203529851, 6.093014098"
Trois-Ponts,"50.356565423, 5.884296721"
Namur,"50.46044996, 4.872576802"
La Bruyère,"50.529754745, 4.809783701"
Ohey,"50.435761668, 5.166379867"
Hamois,"50.337020792, 5.139618396"
Havelange,"50.361179955, 5.248163419"
Dinant,"50.249494165, 4.943226507"
Doische,"50.144244548, 4.699038687"
Fontaine-l’Evêque,"50.407344544, 4.321806821"
Chimay,"50.040900858, 4.324269101"
Thuin,"50.324244976, 4.310791502"
Momignies,"50.002547851, 4.217491017"
Vielsalm,"50.278105831, 5.893367625"
Tenneville,"50.099708626, 5.490131652"
Rendeux,"50.219335659, 5.516063925"
Hotton,"50.267365725, 5.432789448"
Brunehaut,"50.527150313, 3.395108108"
Antoing,"50.556162077, 3.465745334"
Ath,"50.639365214, 3.772895473"
Oostkamp,"51.119345929, 3.230338378"
Knokke-Heist,"51.332531734, 3.307923524"
Bruges,"51.248878837, 3.214407515"
Vleteren,"50.913696705, 2.741574354"
Beernem,"51.150688152, 3.336672437"
Heuvelland,"50.775502208, 2.830312206"
Chiny,"49.720131394, 5.391464332"
Ath,"50.639365214, 3.772895473"
Beloeil,"50.532510697, 3.688628078"
Poperinge,"50.861020343, 2.691526901"
Maarkedal,"50.795182049, 3.641112203"
Beersel,"50.750400221, 4.30185159"
Grimbergen,"50.944676451, 4.376555185"
Lubbeek,"50.882001719, 4.828920963"
Saint-Trond,"50.810337691, 5.202982831"
Liège,"50.631779266, 5.590470487"
Modave,"50.473441847, 5.301858707"
Namur,"50.46044996, 4.872576802"
Assesse,"50.375472708, 4.993003352"
Hastière,"50.194993776, 4.825736667"
Farciennes,"50.434439362, 4.546956755"
Momignies,"50.002547851, 4.217491017"
Martelange,"49.811137421, 5.724825097"
Gouvy,"50.192576392, 5.911460771"
Chiny,"49.720131394, 5.391464332"
Herbeumont,"49.795338493, 5.309409962"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Mons,"50.452418964, 3.971936191"
Frameries,"50.389968633, 3.886214565"
Morlanwelz,"50.447513379, 4.243611519"
Tournai,"50.616213564, 3.407978295"
Péruwelz,"50.529458314, 3.563869138"
Péruwelz,"50.529458314, 3.563869138"
Ellezelles,"50.720619456, 3.699069451"
Zwalin,"50.877237498, 3.723980925"
Schaerbeek,"50.861804948, 4.386062022"
Braine-l’Alleud,"50.673333011, 4.354690133"
Genappe,"50.610166243, 4.456118695"
Asse,"50.907282344, 4.215342336"
Anvers,"51.260784962, 4.369487632"
Heist-op-den-Berg,"51.071642019, 4.736042345"
Heist-op-den-Berg,"51.071642019, 4.736042345"
Ravels,"51.414917241, 5.025960546"
Auderghem,"50.810183953, 4.438030396"
Forest,"50.81406028, 4.324180116"
Genappe,"50.610166243, 4.456118695"
Beersel,"50.750400221, 4.30185159"
Oud-Heverlee,"50.820023916, 4.686914871"
Tremelo,"50.999200458, 4.726784648"
Lanaken,"50.899452877, 5.644358385"
Lommel,"51.22558573, 5.302044999"
Neupré,"50.544064996, 5.488057954"
Anthisnes,"50.489408328, 5.498588906"
Crisnée,"50.710615848, 5.396832689"
Lontzen,"50.677727563, 6.012521524"
Bullange,"50.396010504, 6.31387065"
Verviers,"50.584980879, 5.866794038"
Aywaille,"50.457524566, 5.701517157"
Trois-Ponts,"50.356565423, 5.884296721"
Namur,"50.46044996, 4.872576802"
Zemst,"50.97890854, 4.458091114"
Diest,"51.001417469, 5.069106855"
Oudsbergen,"51.074932107, 5.556321231"
Maaseik,"51.087842457, 5.715196597"
Les Bons Villers,"50.527881629, 4.448179682"
Aiseau-Presles,"50.404935591, 4.57691136"
Anthisnes,"50.489408328, 5.498588906"
Geer,"50.669619424, 5.181421054"
Donceel,"50.649367642, 5.326012737"
Verlaine,"50.608802146, 5.302248483"
Bouillon,"49.805989674, 5.083195503"
Nassogne,"50.136630902, 5.35879589"
Butgenbach,"50.464526105, 6.209299079"
La Louvière,"50.473493943, 4.156666862"
Binche,"50.408694938, 4.177188061"
Amblève,"50.345566774, 6.181425506"
Péruwelz,"50.529458314, 3.563869138"
Rumes,"50.54448947, 3.319812614"
Pepinster,"50.572189162, 5.797054996"
Frasnes-lez-Anvaing,"50.682385996, 3.600705805"
Hastière,"50.194993776, 4.825736667"
Zedelgem,"51.126629115, 3.134318455"
Dixmude,"51.047383182, 2.854220689"
Gand,"51.074461757, 3.725529268"
Ninove,"50.826039806, 4.004807241"
Beaumont,"50.229313738, 4.259225934"
Vaux-sur-Sûre,"49.934294374, 5.60659443"
Etalle,"49.663918094, 5.608965443"
Florenville,"49.707723977, 5.275493726"
Manhay,"50.289017251, 5.662704312"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Quévy,"50.366592778, 3.95436521"
Soignies,"50.566143002, 4.038338724"
Lessines,"50.712532237, 3.833073689"
Brugelette,"50.602026895, 3.867184198"
Beloeil,"50.532510697, 3.688628078"
Harelbeke,"50.863819516, 3.307351631"
Nieuport,"51.12504678, 2.764810944"
Houthulst,"50.970002147, 2.89646659"
Saint-Nicolas,"51.164716288, 4.108528187"
Termonde,"51.027559071, 4.090539882"
Ninove,"50.826039806, 4.004807241"
Maarkedal,"50.795182049, 3.641112203"
Kruisem,"50.908063126, 3.560939232"
Wortegem-Petegem,"50.848354121, 3.527591315"
Deinze,"51.017757976, 3.531612364"
Sint-Martens-Latem,"51.009568062, 3.62221043"
Momignies,"50.002547851, 4.217491017"
Vaux-sur-Sûre,"49.934294374, 5.60659443"
Tintigny,"49.685906253, 5.484433057"
Binche,"50.408694938, 4.177188061"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Brunehaut,"50.527150313, 3.395108108"
Ath,"50.639365214, 3.772895473"
Frasnes-lez-Anvaing,"50.682385996, 3.600705805"
Oudenburg,"51.186057665, 3.012270937"
Schelle,"51.122655553, 4.342427138"
Rixensart,"50.720826444, 4.525625254"
Pepingen,"50.744232472, 4.147628386"
Machelen,"50.902617439, 4.444135451"
Anvers,"51.260784962, 4.369487632"
Retie,"51.267066742, 5.076783846"
Juprelle,"50.71535076, 5.546274638"
Bonheiden,"51.020817824, 4.570730433"
Montaigu-Zichem,"50.998069085, 4.968569153"
Lanaken,"50.899452877, 5.644358385"
Herstal,"50.681470049, 5.606506035"
Geer,"50.669619424, 5.181421054"
Braives,"50.615318788, 5.14948236"
Oreye,"50.723263986, 5.347297138"
Saint-Vith,"50.286870135, 6.12578482"
Welkenraedt,"50.663504856, 5.939126208"
Fosses-la-Ville,"50.393221962, 4.681006224"
Ohey,"50.435761668, 5.166379867"
Hamois,"50.337020792, 5.139618396"
Havelange,"50.361179955, 5.248163419"
Fernelmont,"50.553975068, 4.987218515"
Anhée,"50.318774451, 4.80999372"
Houyet,"50.186053478, 5.002873906"
Cerfontaine,"50.179534685, 4.43674177"
Ciney,"50.269472287, 5.122614765"
Fleurus,"50.486372527, 4.539207185"
Froidchapelle,"50.165217861, 4.347490001"
Sainte-Ode,"50.024948712, 5.5279958"
Vielsalm,"50.278105831, 5.893367625"
Habay,"49.735008962, 5.617125419"
Tenneville,"50.099708626, 5.490131652"
Tournai,"50.616213564, 3.407978295"
Houffalize,"50.144392076, 5.770941883"
Ath,"50.639365214, 3.772895473"
Gouvy,"50.192576392, 5.911460771"
Saint-Léger,"49.618226206, 5.676482036"
Ledegem,"50.871827782, 3.149242514"
Bouillon,"49.805989674, 5.083195503"
Zele,"51.067354882, 4.035901695"
Sint-Lievens-Houtem,"50.931014481, 3.875850023"
Zwalin,"50.877237498, 3.723980925"
Wellin,"50.06013352, 5.09849042"
Kaprijke,"51.208045265, 3.62723611"
Sint-Laureins,"51.259960899, 3.580199925"
Leuze-en-Hainaut,"50.597269839, 3.628784204"
Middelkerke,"51.15342505, 2.838569563"
Baelen,"50.583137868, 6.044755611"
Ottignies-Louvain-la-Neuve,"50.67035588, 4.564163113"
Namur,"50.46044996, 4.872576802"
Rebecq,"50.671495586, 4.130380727"
Braine-le-Château,"50.679668251, 4.284080026"
Yvoir,"50.325309554, 4.940680726"
Sint-Pieters-Leeuw,"50.78747385, 4.244866773"
Beersel,"50.750400221, 4.30185159"
Walcourt,"50.266607674, 4.434950264"
Charleroi,"50.421053699, 4.434599075"
Machelen,"50.902617439, 4.444135451"
Momignies,"50.002547851, 4.217491017"
Heist-op-den-Berg,"51.071642019, 4.736042345"
Grobbendonk,"51.179780864, 4.73912364"
Hoogstraten,"51.440453884, 4.763706694"
Paliseul,"49.907731459, 5.136925044"
Diest,"51.001417469, 5.069106855"
Landen,"50.754691031, 5.061639946"
Durbuy,"50.360726192, 5.4882763"
Mons,"50.452418964, 3.971936191"
Le Roeulx,"50.507304642, 4.106163865"
Morlanwelz,"50.447513379, 4.243611519"
Bernissart,"50.47953059, 3.686535236"
Gedinne,"49.984433532, 4.902770413"
Florennes,"50.253815863, 4.631164588"
Lessines,"50.712532237, 3.833073689"
Charleroi,"50.421053699, 4.434599075"
Ham-sur-Heure-Nalinnes,"50.327408081, 4.413864233"
De Haan,"51.261617741, 3.047397778"
Thuin,"50.324244976, 4.310791502"
Houffalize,"50.144392076, 5.770941883"
Gouvy,"50.192576392, 5.911460771"
Etterbeek,"50.83298403, 4.39460621"
Perwez,"50.634167534, 4.789881038"
Braine-l’Alleud,"50.673333011, 4.354690133"
Hal,"50.726394595, 4.236975532"
Kraainem,"50.845409202, 4.47133087"
Westerlo,"51.106467291, 4.881951875"
Laakdal,"51.080954585, 5.005972022"
Jette,"50.881719684, 4.321379802"
Jodoigne,"50.728387829, 4.860338646"
Braine-l’Alleud,"50.673333011, 4.354690133"
Villers-la-Ville,"50.562403176, 4.526694334"
Machelen,"50.902617439, 4.444135451"
Zemst,"50.97890854, 4.458091114"
Herenthout,"51.139158366, 4.759928792"
Turnhout,"51.328976011, 4.940169667"
Ravels,"51.414917241, 5.025960546"
Chaumont-Gistoux,"50.687141837, 4.690609169"
Nivelles,"50.596982026, 4.332197434"
Ittre,"50.642465921, 4.257516783"
Genappe,"50.610166243, 4.456118695"
Asse,"50.907282344, 4.215342336"
Anvers,"51.260784962, 4.369487632"
Beerse,"51.314402858, 4.823331717"
Vosselaar,"51.305296606, 4.885121852"
Malle,"51.29326354, 4.713504157"
Boechout,"51.165678464, 4.516877582"
Rotselaar,"50.959561217, 4.732261774"
Landen,"50.754691031, 5.061639946"
Heusden-Zolder,"51.019912359, 5.289147102"
Chaudfontaine,"50.581446589, 5.633738454"
Esneux,"50.537601054, 5.568854271"
Ferrières,"50.407203254, 5.620803948"
Geer,"50.669619424, 5.181421054"
Soumagne,"50.632555934, 5.731262193"
Pepinster,"50.572189162, 5.797054996"
Waimes,"50.462437953, 6.124681731"
Bièvre,"49.921987336, 5.019649627"
Houyet,"50.186053478, 5.002873906"
Charleroi,"50.421053699, 4.434599075"
Charleroi,"50.421053699, 4.434599075"
Pont-à-Celles,"50.513891629, 4.381325261"
Erquelinnes,"50.303928989, 4.138587805"
Vielsalm,"50.278105831, 5.893367625"
Wellin,"50.06013352, 5.09849042"
Manage,"50.493242643, 4.239090704"
Seneffe,"50.547824686, 4.26264234"
Quiévrain,"50.395834561, 3.702459184"
Quiévrain,"50.395834561, 3.702459184"
Comines-Warneton,"50.751586024, 2.93036756"
Lessines,"50.712532237, 3.833073689"
Zwevegem,"50.786949116, 3.372555192"
Lichtervelde,"51.027763603, 3.146128453"
Heuvelland,"50.775502208, 2.830312206"
Heuvelland,"50.775502208, 2.830312206"
Saint-Nicolas,"51.164716288, 4.108528187"
Kruisem,"50.908063126, 3.560939232"
Sint-Martens-Latem,"51.009568062, 3.62221043"
Maldegem,"51.19815408, 3.450329552"
Bruxelles,"50.85500227, 4.351220868"
Ixelles,"50.822321074, 4.377092549"
Saint-Josse-ten-Noode,"50.85381319, 4.369359641"
Rixensart,"50.720826444, 4.525625254"
Ottignies-Louvain-la-Neuve,"50.67035588, 4.564163113"
Rhode-Saint-Genèse,"50.744515007, 4.373755793"
Roosdaal,"50.837514354, 4.097388715"
Hulshout,"51.062828438, 4.812454596"
Zandhoven,"51.211297327, 4.679232437"
Mol,"51.238179465, 5.196296241"
Stabroek,"51.328589198, 4.376740861"
Oud-Heverlee,"50.820023916, 4.686914871"
Kortenberg,"50.889934982, 4.568809557"
Hove,"51.147210908, 4.482296691"
Seraing,"50.589127814, 5.515828554"
Willebroek,"51.053957344, 4.368522298"
Sprimont,"50.519204771, 5.666420198"
Zoersel,"51.257557268, 4.669816836"
Flémalle,"50.597036012, 5.441309584"
Louvain,"50.882186328, 4.705914008"
Juprelle,"50.71535076, 5.546274638"
Louvain,"50.882186328, 4.705914008"
Dison,"50.613975051, 5.87450227"
Huldenberg,"50.789779805, 4.611903325"
Theux,"50.50995684, 5.817604752"
Boortmeerbeek,"50.980091231, 4.560843786"
Assesse,"50.375472708, 4.993003352"
Aarschot,"50.988975797, 4.864608608"
Beauraing,"50.093132367, 4.952605842"
Bierbeek,"50.830120004, 4.76739226"
Mettet,"50.323195392, 4.671217991"
Alken,"50.878401911, 5.290570166"
Fontaine-l’Evêque,"50.407344544, 4.321806821"
Beringen,"51.065468341, 5.236065884"
Chimay,"50.040900858, 4.324269101"
Beringen,"51.065468341, 5.236065884"
Etalle,"49.663918094, 5.608965443"
Gingelom,"50.737417011, 5.16949942"
Rouvroy,"49.53543443, 5.483838772"
Hamont-Achel,"51.260145843, 5.507305885"
Tenneville,"50.099708626, 5.490131652"
Hechtel-Eksel,"51.138445901, 5.346479815"
Mons,"50.452418964, 3.971936191"
Wasseiges,"50.617867052, 5.024357922"
Mons,"50.452418964, 3.971936191"
Braives,"50.615318788, 5.14948236"
Honnelles,"50.351489265, 3.724700014"
Blegny,"50.674482778, 5.708907533"
Tournai,"50.616213564, 3.407978295"
Mouscron,"50.736408581, 3.251073123"
Anzegem,"50.830717937, 3.453902024"
Moorslede,"50.880815485, 3.078963021"
Wetteren,"50.994492601, 3.870231624"
Lede,"50.966129574, 3.945636739"
Malmedy,"50.431457268, 6.041608406"
Wavre,"50.715804617, 4.593243607"
Namur,"50.46044996, 4.872576802"
Dilbeek,"50.853298266, 4.233827597"
Eghezée,"50.58661463, 4.893892799"
Courcelles,"50.472447666, 4.341058617"
Léau,"50.835091444, 5.101172492"
Geetbets,"50.891481924, 5.131137853"
Houthalen-Helchteren,"51.045338048, 5.408429138"
Kinrooi,"51.153003012, 5.760150307"
Dilsen-Stokkem,"51.035979548, 5.712095405"
As,"51.008643718, 5.58475322"
Fourons,"50.745325166, 5.822668977"
Héron,"50.540450236, 5.105364152"
Fexhe-le-Haut-Clocher,"50.663665571, 5.402083081"
Remicourt,"50.685680553, 5.341212609"
Ans,"50.682772346, 5.506110213"
Soumagne,"50.632555934, 5.731262193"
Lessines,"50.712532237, 3.833073689"
Oupeye,"50.721178068, 5.641419072"
Messancy,"49.614764454, 5.811267142"
Bruxelles,"50.85500227, 4.351220868"
Bruxelles,"50.85500227, 4.351220868"
Uccle,"50.789869051, 4.361378602"
Hélécine,"50.748349994, 4.98273803"
Ramillies,"50.656704221, 4.886082353"
Biévène,"50.710666783, 3.93216716"
Lennik,"50.8132598, 4.163690548"
Wommelgem,"51.206774228, 4.518940171"
Hoogstraten,"51.440453884, 4.763706694"
Meerhout,"51.124544267, 5.073565661"
Malines,"51.028657551, 4.45023195"
Schoten,"51.264165691, 4.508217434"
Louvain,"50.882186328, 4.705914008"
Aarschot,"50.988975797, 4.864608608"
Lubbeek,"50.882001719, 4.828920963"
Glabbeek,"50.867015368, 4.949438367"
Kortenaken,"50.893133252, 5.023114614"
Comblain-au-Pont,"50.481752448, 5.579981241"
Remicourt,"50.685680553, 5.341212609"
Engis,"50.557588779, 5.388805991"
Blegny,"50.674482778, 5.708907533"
La Calamine,"50.717495937, 6.023433088"
Olne,"50.587358238, 5.731957724"
Assesse,"50.375472708, 4.993003352"
Walcourt,"50.266607674, 4.434950264"
Charleroi,"50.421053699, 4.434599075"
Charleroi,"50.421053699, 4.434599075"
Châtelet,"50.397175466, 4.522422992"
Chimay,"50.040900858, 4.324269101"
Habay,"49.735008962, 5.617125419"
Paliseul,"49.907731459, 5.136925044"
Wellin,"50.06013352, 5.09849042"
Erezée,"50.296589243, 5.557816654"
Seneffe,"50.547824686, 4.26264234"
Boussu,"50.427099965, 3.799637977"
Bernissart,"50.47953059, 3.686535236"
Pecq,"50.685158392, 3.356784596"
Comines-Warneton,"50.751586024, 2.93036756"
Lens,"50.570454655, 3.911491477"
Chièvres,"50.571182535, 3.78394067"
Blankenberge,"51.301655495, 3.1397911"
Courtrai,"50.800025461, 3.264551816"
Courtrai,"50.800025461, 3.264551816"
Wevelgem,"50.831316492, 3.174013903"
Avelgem,"50.777645366, 3.453710456"
Waregem,"50.880617044, 3.402499145"
Waregem,"50.880617044, 3.402499145"
Hooglede,"50.989424376, 3.082281261"
Gand,"51.074461757, 3.725529268"
Lebbeke,"50.992502578, 4.118965715"
Alost,"50.944711831, 4.068722574"
Denderleeuw,"50.886322572, 4.0581157"
Lievegem,"51.127051487, 3.587542463"
Lievegem,"51.127051487, 3.587542463"
Sint-Laureins,"51.259960899, 3.580199925"
Sint-Pieters-Leeuw,"50.78747385, 4.244866773"
Louvain,"50.882186328, 4.705914008"
Kortenaken,"50.893133252, 5.023114614"
Juprelle,"50.71535076, 5.546274638"
Gembloux,"50.554301604, 4.709109884"
Onhaye,"50.260237313, 4.812226539"
Rochefort,"50.156991995, 5.169196063"
Musson,"49.569430795, 5.680951871"
Neufchâteau,"49.851034613, 5.433387313"
Herve,"50.648702164, 5.796260538"
La Calamine,"50.717495937, 6.023433088"
Estinnes,"50.378750264, 4.100617688"
Heuvelland,"50.775502208, 2.830312206"
Zelzate,"51.199149937, 3.808613623"
Herzele,"50.870434469, 3.892462656"
Mons,"50.452418964, 3.971936191"
Mons,"50.452418964, 3.971936191"
Hensies,"50.435803886, 3.713694445"
Tournai,"50.616213564, 3.407978295"
Gistel,"51.151142564, 2.943196979"
Molenbeek-Saint-Jean,"50.855230823, 4.318459334"
Ottignies-Louvain-la-Neuve,"50.67035588, 4.564163113"
Zaventem,"50.871257881, 4.486517478"
Anvers,"51.260784962, 4.369487632"
Anvers,"51.260784962, 4.369487632"
Hoogstraten,"51.440453884, 4.763706694"
Balen,"51.158605534, 5.182967361"
Edegem,"51.156241699, 4.432841157"
Kalmthout,"51.398860669, 4.468686727"
Overijse,"50.771298043, 4.5328975"
Rotselaar,"50.959561217, 4.732261774"
Oudsbergen,"51.074932107, 5.556321231"
Fourons,"50.745325166, 5.822668977"
Aalter,"51.095258488, 3.447239499"
Marche-en-Famenne,"50.209289234, 5.343638083"
Middelkerke,"51.15342505, 2.838569563"
Ingelmunster,"50.921458133, 3.260681271"
Ardooie,"50.981620423, 3.203102087"
Izegem,"50.921090123, 3.205493901"
Kampenhout,"50.941289495, 4.560657494"
Anvers,"51.260784962, 4.369487632"
Essen,"51.449503076, 4.465890522"
Kortenberg,"50.889934982, 4.568809557"
Lubbeek,"50.882001719, 4.828920963"
Tirlemont,"50.811957748, 4.941883065"
Bassenge,"50.76557415, 5.610041761"
Amblève,"50.345566774, 6.181425506"
Jalhay,"50.530822983, 5.96647663"
Etalle,"49.663918094, 5.608965443"
Binche,"50.408694938, 4.177188061"
Comines-Warneton,"50.751586024, 2.93036756"
Middelkerke,"51.15342505, 2.838569563"
Ichtegem,"51.112666654, 3.030818622"
Aartselaar,"51.131834068, 4.382521272"
Bertem,"50.853832599, 4.609714336"
Holsbeek,"50.929694418, 4.801842678"
Hoegaarden,"50.779132838, 4.876531798"
Glabbeek,"50.867015368, 4.949438367"
Landen,"50.754691031, 5.061639946"
Geetbets,"50.891481924, 5.131137853"
Genk,"50.967174639, 5.494917672"
Liège,"50.631779266, 5.590470487"
Chaudfontaine,"50.581446589, 5.633738454"
Neupré,"50.544064996, 5.488057954"
Hannut,"50.666022042, 5.073103357"
Grâce-Hollogne,"50.637746032, 5.439468375"
Verviers,"50.584980879, 5.866794038"
Thimister-Clermont,"50.662929019, 5.869807691"
Gembloux,"50.554301604, 4.709109884"
Sambreville,"50.446568784, 4.620726993"
Havelange,"50.361179955, 5.248163419"
Berchem-Sainte-Agathe,"50.864660736, 4.293926306"
Beauvechain,"50.776149437, 4.764658556"
Waterloo,"50.709764592, 4.403520838"
Hoeilaart,"50.76102053, 4.450821012"
Linkebeek,"50.767952902, 4.345420862"
Charleroi,"50.421053699, 4.434599075"
Roosdaal,"50.837514354, 4.097388715"
Wemmel,"50.90958388, 4.309324271"
Zemst,"50.97890854, 4.458091114"
Duffel,"51.095715836, 4.514139347"
Putte,"51.050684436, 4.636366279"
Begijnendijk,"51.007016786, 4.784627003"
Messancy,"49.614764454, 5.811267142"
As,"51.008643718, 5.58475322"
Durbuy,"50.360726192, 5.4882763"
Mons,"50.452418964, 3.971936191"
Mons,"50.452418964, 3.971936191"
Chapelle-lez-Herlaimont,"50.462486406, 4.287558198"
Ecaussinnes,"50.562712917, 4.179441208"
Tournai,"50.616213564, 3.407978295"
Mouscron,"50.736408581, 3.251073123"
Ath,"50.639365214, 3.772895473"
Jabbeke,"51.188628583, 3.096355689"
Heuvelland,"50.775502208, 2.830312206"
Saint-Nicolas,"51.164716288, 4.108528187"
Laarne,"51.042424066, 3.884207055"
Mons,"50.452418964, 3.971936191"
Ninove,"50.826039806, 4.004807241"
Sint-Lievens-Houtem,"50.931014481, 3.875850023"
Kruisem,"50.908063126, 3.560939232"
Sint-Laureins,"51.259960899, 3.580199925"
Mont-de-l’Enclus,"50.738133415, 3.504557197"
Ath,"50.639365214, 3.772895473"
Nivelles,"50.596982026, 4.332197434"
Anvers,"51.260784962, 4.369487632"
Malines,"51.028657551, 4.45023195"
Herent,"50.910609177, 4.646557362"
Kortenberg,"50.889934982, 4.568809557"
Aarschot,"50.988975797, 4.864608608"
Profondeville,"50.375205017, 4.828674857"
Houyet,"50.186053478, 5.002873906"
Thuin,"50.324244976, 4.310791502"
Zandhoven,"51.211297327, 4.679232437"
Laakdal,"51.080954585, 5.005972022"
