region,code,municipality
Brussels-Capital Region,1081,Koekelberg
Flemish Region,2990,Wuustwezel
Flemish Region,3010,Louvain
Flemish Region,3381,Glabbeek
Flemish Region,3500,Hasselt
Walloon Region,4102,Seraing
Walloon Region,4430,Ans
Flemish Region,2530,Boechout
Walloon Region,4600,Visé
Walloon Region,4623,Fléron
Walloon Region,4672,Blegny
Walloon Region,4800,Verviers
Walloon Region,4820,Dison
Walloon Region,5030,Gembloux
Walloon Region,5100,Namur
Walloon Region,5101,Namur
Walloon Region,5354,Ohey
Walloon Region,5377,Somme-Leuze
Walloon Region,5543,Hastière
Walloon Region,5544,Hastière
Walloon Region,5550,Vresse-sur-Semois
Walloon Region,6220,Fleurus
Walloon Region,6540,Lobbes
Walloon Region,6637,Fauvillers
Walloon Region,6441,Froidchapelle
Walloon Region,6543,Lobbes
Walloon Region,6591,Momignies
Walloon Region,6596,Momignies
Walloon Region,6661,Houffalize
Walloon Region,7602,Péruwelz
Walloon Region,7618,Rumes
Walloon Region,6671,Gouvy
Walloon Region,7810,Ath
Flemish Region,8582,Avelgem
Flemish Region,8790,Waregem
Walloon Region,6769,Meix-devant-Virton
Flemish Region,9040,Gand
Flemish Region,9120,Beveren-Kruibeke-Zwijndrecht
Flemish Region,9220,Hamme
Walloon Region,6834,Bouillon
Flemish Region,9750,Kruisem
Walloon Region,7330,Saint-Ghislain
Flemish Region,8906,Ypres
Flemish Region,8920,Langemark-Poelkapelle
Flemish Region,8940,Wervik
Flemish Region,8980,Zonnebeke
Flemish Region,9550,Herzele
Flemish Region,9571,Lierde
Flemish Region,9690,Kluisbergen
Flemish Region,9850,Deinze
Walloon Region,1315,Incourt
Flemish Region,1860,Meise
Flemish Region,1933,Zaventem
Flemish Region,2280,Grobbendonk
Flemish Region,2590,Berlaar
Flemish Region,2660,Anvers
Flemish Region,3054,Oud-Heverlee
Flemish Region,3540,Herck-la-Ville
Flemish Region,3583,Beringen
Flemish Region,3590,Diepenbeek
Walloon Region,1310,La Hulpe
Walloon Region,1350,Orp-Jauche
Flemish Region,1670,Pepingen
Flemish Region,1740,Ternat
Flemish Region,1741,Ternat
Flemish Region,1745,Opwijk
Flemish Region,1790,Affligem
Flemish Region,1980,Zemst
Flemish Region,2380,Ravels
Flemish Region,2387,Baerle-Duc
Flemish Region,2547,Lint
Flemish Region,2860,Sint-Katelijne-Waver
Flemish Region,3061,Bertem
Flemish Region,3391,Tielt-Winge
Flemish Region,3791,Fourons
Flemish Region,3971,Bourg-Léopold
Flemish Region,3990,Peer
Walloon Region,4030,Liège
Walloon Region,4040,Herstal
Walloon Region,4053,Chaudfontaine
Walloon Region,4122,Neupré
Walloon Region,4210,Burdinne
Walloon Region,4431,Ans
Walloon Region,4602,Visé
Walloon Region,4608,Dalhem
Walloon Region,4700,Eupen
Walloon Region,4721,La Calamine
Walloon Region,1401,Nivelles
Walloon Region,5521,Onhaye
Flemish Region,1502,Hal
Walloon Region,5573,Beauraing
Flemish Region,1770,Liedekerke
Flemish Region,1850,Grimbergen
Flemish Region,2150,Anvers
Walloon Region,6832,Bouillon
Flemish Region,2290,Vorselaar
Walloon Region,6850,Paliseul
Flemish Region,9570,Lierde
Flemish Region,9968,Assenede
Walloon Region,1435,Mont-Saint-Guibert
Walloon Region,1470,Genappe
Flemish Region,1651,Beersel
Flemish Region,1820,Steenokkerzeel
Flemish Region,1851,Grimbergen
Flemish Region,1970,Wezembeek-Oppem
Flemish Region,2200,Herentals
Flemish Region,2321,Hoogstraten
Flemish Region,2640,Mortsel
Flemish Region,2840,Rumst
Flemish Region,3118,Rotselaar
Flemish Region,3120,Tremelo
Flemish Region,3560,Lummen
Flemish Region,3690,Zutendaal
Flemish Region,3832,Wellen
Walloon Region,4180,Hamoir
Walloon Region,4252,Geer
Walloon Region,4450,Juprelle
Walloon Region,4540,Amay
Walloon Region,4620,Fléron
Walloon Region,4624,Fléron
Walloon Region,4684,Oupeye
Walloon Region,4830,Limbourg
Walloon Region,4870,Trooz
Walloon Region,5350,Ohey
Walloon Region,6851,Paliseul
Walloon Region,6856,Paliseul
Walloon Region,6929,Daverdisse
Walloon Region,6951,Nassogne
Walloon Region,7711,Mouscron
Walloon Region,7782,Comines-Warneton
Flemish Region,8000,Bruges
Flemish Region,8530,Harelbeke
Flemish Region,8957,Messines
Flemish Region,9930,Lievegem
Brussels-Capital Region,1083,Ganshoren
Walloon Region,1480,Tubize
Flemish Region,2040,Anvers
Flemish Region,2230,Herselt
Flemish Region,2275,Lille
Flemish Region,2370,Arendonk
Flemish Region,2480,Dessel
Flemish Region,2520,Ranst
Walloon Region,6984,La Roche-en-Ardenne
Walloon Region,7781,Comines-Warneton
Walloon Region,7880,Flobecq
Flemish Region,8930,Menin
Flemish Region,3473,Kortenaken
Flemish Region,9051,Gand
Flemish Region,9090,Merelbeke-Melle
Flemish Region,9620,Zottegem
Flemish Region,9870,Zulte
Walloon Region,6010,Charleroi
Flemish Region,8377,Zuienkerke
Walloon Region,6870,Saint-Hubert
Flemish Region,9042,Gand
Walloon Region,7061,Soignies
Walloon Region,7322,Bernissart
Flemish Region,9401,Ninove
Flemish Region,9470,Denderleeuw
Flemish Region,9961,Assenede
Flemish Region,9971,Kaprijke
Walloon Region,4520,Wanze
Walloon Region,5644,Mettet
Walloon Region,6221,Fleurus
Walloon Region,6238,Pont-à-Celles
Walloon Region,6680,Sainte-Ode
Flemish Region,8710,Wielsbeke
Flemish Region,9473,Denderleeuw
Flemish Region,9660,Brakel
Walloon Region,7012,Mons
Walloon Region,7190,Ecaussinnes
Walloon Region,7504,Tournai
Walloon Region,7521,Tournai
Flemish Region,9070,Destelbergen
Flemish Region,9661,Brakel
Flemish Region,9880,Aalter
Flemish Region,9990,Maldegem
Brussels-Capital Region,1060,Saint-Gilles
Flemish Region,1501,Hal
Flemish Region,1601,Sint-Pieters-Leeuw
Flemish Region,2360,Oud-Turnhout
Flemish Region,2550,Kontich
Flemish Region,2600,Anvers
Flemish Region,2890,Puurs-Sint-Amands
Flemish Region,3460,Bekkevoort
Flemish Region,3545,Halen
Flemish Region,3850,Nieuwerkerken
Walloon Region,4257,Berloz
Walloon Region,4300,Waremme
Walloon Region,4340,Awans
Walloon Region,4342,Awans
Walloon Region,4632,Soumagne
Walloon Region,4840,Welkenraedt
Walloon Region,4970,Stavelot
Walloon Region,4990,Lierneux
Walloon Region,5080,La Bruyère
Walloon Region,5503,Dinant
Walloon Region,5520,Onhaye
Walloon Region,5563,Houyet
Flemish Region,8501,Courtrai
Flemish Region,8760,Tielt
Flemish Region,1742,Ternat
Flemish Region,3950,Bocholt
Walloon Region,4710,Lontzen
Walloon Region,4900,Spa
Walloon Region,5000,Namur
Walloon Region,6182,Courcelles
Walloon Region,6280,Gerpinnes
Walloon Region,6533,Thuin
Walloon Region,6536,Thuin
Walloon Region,6660,Houffalize
Walloon Region,6666,Houffalize
Walloon Region,6687,Bastogne
Walloon Region,6791,Aubange
Walloon Region,6792,Aubange
Walloon Region,6952,Nassogne
Walloon Region,7090,Braine-le-Comte
Flemish Region,9140,Tamise
Flemish Region,9451,Haaltert
Flemish Region,9980,Sint-Laureins
Brussels-Capital Region,1070,Anderlecht
Walloon Region,1404,Nivelles
Walloon Region,1457,Walhain
Flemish Region,1541,Pajottegem
Walloon Region,5300,Andenne
Flemish Region,2970,Schilde
Flemish Region,3140,Keerbergen
Walloon Region,6760,Virton
Walloon Region,6980,La Roche-en-Ardenne
Walloon Region,7050,Jurbise
Walloon Region,7134,Binche
Walloon Region,7331,Saint-Ghislain
Walloon Region,7600,Péruwelz
Walloon Region,7623,Brunehaut
Walloon Region,7730,Estaimpuis
Walloon Region,4650,Herve
Walloon Region,7862,Lessines
Flemish Region,2861,Sint-Katelijne-Waver
Flemish Region,3051,Oud-Heverlee
Walloon Region,4101,Seraing
Walloon Region,4261,Braives
Walloon Region,4630,Soumagne
Walloon Region,4651,Herve
Walloon Region,4654,Herve
Walloon Region,5020,Namur
Walloon Region,5150,Floreffe
Walloon Region,5352,Ohey
Walloon Region,5362,Hamois
Walloon Region,5576,Beauraing
Walloon Region,5620,Florennes
Walloon Region,6001,Charleroi
Walloon Region,6020,Charleroi
Walloon Region,6542,Lobbes
Walloon Region,6567,Merbes-le-Château
Walloon Region,6686,Bastogne
Walloon Region,6810,Chiny
Walloon Region,6812,Chiny
Walloon Region,6836,Bouillon
Walloon Region,6982,La Roche-en-Ardenne
Walloon Region,7333,Saint-Ghislain
Walloon Region,7801,Ath
Walloon Region,7863,Lessines
Walloon Region,7900,Leuze-en-Hainaut
Walloon Region,7903,Leuze-en-Hainaut
Flemish Region,8400,Ostende
Flemish Region,8970,Poperinge
Flemish Region,9255,Buggenhout
Flemish Region,9572,Lierde
Flemish Region,9931,Lievegem
Flemish Region,1620,Drogenbos
Walloon Region,4162,Anthisnes
Walloon Region,4601,Visé
Walloon Region,7973,Beloeil
Flemish Region,8450,Bredene
Walloon Region,4606,Dalhem
Flemish Region,8740,Pittem
Walloon Region,7022,Mons
Flemish Region,9900,Eeklo
Flemish Region,9940,Evergem
Walloon Region,7530,Tournai
Walloon Region,7534,Tournai
Walloon Region,4607,Dalhem
Walloon Region,7640,Antoing
Walloon Region,4610,Beyne-Heusay
Flemish Region,8552,Zwevegem
Walloon Region,4782,Saint-Vith
Flemish Region,8978,Poperinge
Flemish Region,9190,Stekene
Flemish Region,9250,Waasmunster
Flemish Region,9032,Gand
Flemish Region,9402,Ninove
Walloon Region,5334,Assesse
Walloon Region,5572,Beauraing
Walloon Region,6060,Charleroi
Walloon Region,6111,Montigny-le-Tilleul
Walloon Region,6800,Libramont-Chevigny
Flemish Region,9300,Alost
Walloon Region,7506,Tournai
Walloon Region,7533,Tournai
Walloon Region,7742,Pecq
Walloon Region,7811,Ath
Walloon Region,7941,Brugelette
Walloon Region,7942,Brugelette
Flemish Region,8340,Damme
Flemish Region,8580,Avelgem
Flemish Region,8690,Alveringem
Flemish Region,8840,Staden
Flemish Region,8900,Ypres
Flemish Region,9310,Alost
Flemish Region,9404,Ninove
Flemish Region,9552,Herzele
Brussels-Capital Region,1120,Bruxelles
Walloon Region,1330,Rixensart
Flemish Region,1652,Beersel
Flemish Region,1700,Dilbeek
Flemish Region,1800,Vilvorde
Flemish Region,1861,Meise
Flemish Region,2330,Merksplas
Flemish Region,1853,Grimbergen
Flemish Region,2500,Lierre
Flemish Region,2000,Anvers
Flemish Region,2620,Hemiksem
Flemish Region,2222,Heist-op-den-Berg
Flemish Region,3191,Boortmeerbeek
Flemish Region,2490,Balen
Flemish Region,3461,Bekkevoort
Flemish Region,2845,Niel
Flemish Region,3730,Bilzen-Hoeselt
Flemish Region,2870,Puurs-Sint-Amands
Flemish Region,3831,Wellen
Flemish Region,3271,Montaigu-Zichem
Flemish Region,3870,Heers
Flemish Region,3350,Linter
Flemish Region,3940,Hechtel-Eksel
Flemish Region,3510,Hasselt
Flemish Region,3960,Bree
Flemish Region,3582,Beringen
Walloon Region,4560,Clavier
Walloon Region,4680,Oupeye
Walloon Region,4682,Oupeye
Walloon Region,4852,Plombières
Walloon Region,5024,Namur
Walloon Region,5190,Jemeppe-sur-Sambre
Walloon Region,5523,Onhaye
Walloon Region,5540,Hastière
Brussels-Capital Region,1170,Watermael-Boitsfort
Walloon Region,5600,Philippeville
Walloon Region,5670,Viroinval
Walloon Region,6180,Courcelles
Walloon Region,1348,Ottignies-Louvain-la-Neuve
Walloon Region,6224,Fleurus
Walloon Region,6462,Chimay
Walloon Region,6721,Habay
Walloon Region,6823,Florenville
Walloon Region,6953,Nassogne
Walloon Region,7000,Mons
Walloon Region,7063,Soignies
Walloon Region,7332,Saint-Ghislain
Walloon Region,7340,Colfontaine
Walloon Region,7390,Quaregnon
Walloon Region,7622,Brunehaut
Flemish Region,8511,Courtrai
Flemish Region,8520,Kuurne
Flemish Region,8551,Zwevegem
Walloon Region,1474,Genappe
Flemish Region,8554,Zwevegem
Flemish Region,1674,Pepingen
Flemish Region,2070,Beveren-Kruibeke-Zwijndrecht
Flemish Region,8587,Espierres-Helchin
Flemish Region,8791,Waregem
Flemish Region,9260,Wichelen
Flemish Region,2110,Wijnegem
Flemish Region,2812,Malines
Flemish Region,2880,Bornem
Flemish Region,2960,Brecht
Walloon Region,4317,Faimes
Flemish Region,3700,Tongeren-Borgloon
Flemish Region,9860,Oosterzele
Walloon Region,4783,Saint-Vith
Walloon Region,4784,Saint-Vith
Walloon Region,5021,Namur
Walloon Region,5330,Assesse
Walloon Region,5360,Hamois
Walloon Region,5640,Mettet
Walloon Region,6110,Montigny-le-Tilleul
Walloon Region,6210,Les Bons Villers
Walloon Region,6223,Fleurus
Walloon Region,6530,Thuin
Flemish Region,9700,Audenarde
Flemish Region,9810,Nazareth-De Pinte
Walloon Region,6700,Arlon
Walloon Region,6740,Etalle
Walloon Region,6761,Virton
Walloon Region,6890,Libin
Walloon Region,7300,Boussu
Walloon Region,7830,Silly
Flemish Region,8573,Anzegem
Flemish Region,8691,Alveringem
Flemish Region,8904,Ypres
Flemish Region,8908,Ypres
Flemish Region,9150,Beveren-Kruibeke-Zwijndrecht
Flemish Region,9320,Alost
Flemish Region,9667,Horebeke
Flemish Region,8540,Deerlijk
Flemish Region,8670,Koksijde
Flemish Region,8850,Ardooie
Flemish Region,9881,Aalter
Flemish Region,9960,Assenede
Flemish Region,2800,Malines
Flemish Region,3053,Oud-Heverlee
Flemish Region,3150,Haacht
Walloon Region,6860,Léglise
Flemish Region,3830,Wellen
Walloon Region,4287,Lincent
Walloon Region,4570,Marchin
Walloon Region,4880,Aubel
Walloon Region,5571,Beauraing
Walloon Region,7370,Dour
Walloon Region,7503,Tournai
Walloon Region,7641,Antoing
Walloon Region,5641,Mettet
Flemish Region,8380,Bruges
Walloon Region,6140,Fontaine-l’Evêque
Flemish Region,8432,Middelkerke
Flemish Region,8647,Lo-Reninge
Flemish Region,8750,Wingene
Flemish Region,9600,Renaix
Walloon Region,1380,Lasne
Walloon Region,1472,Genappe
Flemish Region,1785,Merchtem
Flemish Region,9030,Gand
Flemish Region,9050,Gand
Flemish Region,9170,Sint-Gillis-Waas
Brussels-Capital Region,1200,Woluwe-Saint-Lambert
Walloon Region,1450,Chastre
Flemish Region,1673,Pepingen
Flemish Region,1880,Kapelle-op-den-Bos
Flemish Region,1755,Pajottegem
Flemish Region,1930,Zaventem
Walloon Region,4851,Plombières
Walloon Region,5363,Hamois
Walloon Region,7643,Antoing
Flemish Region,8211,Zedelgem
Flemish Region,8553,Zwevegem
Flemish Region,8572,Anzegem
Flemish Region,8720,Dentergem
Flemish Region,9185,Lochristi
Brussels-Capital Region,1140,Evere
Brussels-Capital Region,1150,Woluwe-Saint-Pierre
Flemish Region,1702,Dilbeek
Walloon Region,5500,Dinant
Walloon Region,5504,Dinant
Flemish Region,3390,Tielt-Winge
Flemish Region,3512,Hasselt
Walloon Region,5570,Beauraing
Flemish Region,3790,Fourons
Flemish Region,3900,Pelt
Flemish Region,3945,Tessenderlo-Ham
Walloon Region,4042,Herstal
Walloon Region,6723,Habay
Walloon Region,4557,Tinlot
Walloon Region,4652,Herve
Walloon Region,7062,Soignies
Walloon Region,4760,Bullange
Walloon Region,7601,Péruwelz
Walloon Region,4790,Burg-Reuland
Walloon Region,7760,Celles
Walloon Region,5340,Gesves
Walloon Region,5522,Onhaye
Walloon Region,7971,Beloeil
Walloon Region,6032,Charleroi
Walloon Region,6040,Charleroi
Walloon Region,6470,Sivry-Rance
Flemish Region,9450,Haaltert
Flemish Region,9890,Gavere
Walloon Region,1390,Grez-Doiceau
Flemish Region,2243,Zandhoven
Flemish Region,2320,Hoogstraten
Flemish Region,2460,Kasterlee
Flemish Region,2930,Brasschaat
Flemish Region,2950,Kapellen
Flemish Region,3806,Saint-Trond
Brussels-Capital Region,1000,Bruxelles
Walloon Region,1301,Wavre
Walloon Region,1490,Court-Saint-Etienne
Flemish Region,2018,Anvers
Flemish Region,2020,Anvers
Flemish Region,2440,Geel
Flemish Region,2560,Nijlen
Flemish Region,2610,Anvers
Flemish Region,2850,Boom
Flemish Region,3270,Montaigu-Zichem
Flemish Region,3290,Diest
Flemish Region,3370,Boutersem
Walloon Region,4500,Huy
Walloon Region,7531,Tournai
Walloon Region,7538,Tournai
Walloon Region,7500,Tournai
Walloon Region,7532,Tournai
Walloon Region,7536,Tournai
Walloon Region,7812,Ath
Walloon Region,7943,Brugelette
Flemish Region,8301,Knokke-Heist
Flemish Region,8430,Middelkerke
Flemish Region,8583,Avelgem
Flemish Region,8630,Furnes
Flemish Region,8820,Torhout
Flemish Region,8952,Heuvelland
Walloon Region,7540,Tournai
Walloon Region,7850,Enghien
Walloon Region,7901,Leuze-en-Hainaut
Walloon Region,1461,Ittre
Flemish Region,3970,Bourg-Léopold
Walloon Region,4530,Villers-Le-Bouillet
Walloon Region,4834,Limbourg
Walloon Region,4850,Plombières
Walloon Region,5501,Dinant
Walloon Region,5660,Couvin
Walloon Region,6183,Courcelles
Walloon Region,6463,Chimay
Walloon Region,6600,Bastogne
Walloon Region,6674,Gouvy
Walloon Region,6717,Attert
Walloon Region,4683,Oupeye
Walloon Region,4730,Raeren
Flemish Region,8680,Koekelare
Flemish Region,8780,Oostrozebeke
Flemish Region,8800,Roulers
Flemish Region,8860,Lendelede
Flemish Region,9000,Gand
Flemish Region,9160,Lokeren
Flemish Region,9290,Berlare
Flemish Region,9932,Lievegem
Flemish Region,9950,Lievegem
Flemish Region,9991,Maldegem
Walloon Region,5561,Houyet
Flemish Region,1703,Dilbeek
Walloon Region,6030,Charleroi
Walloon Region,6150,Anderlues
Walloon Region,6704,Arlon
Flemish Region,3220,Holsbeek
Flemish Region,3630,Maasmechelen
Flemish Region,3631,Maasmechelen
Walloon Region,6927,Tellin
Flemish Region,3890,Gingelom
Walloon Region,4160,Anthisnes
Walloon Region,4181,Hamoir
Walloon Region,4470,Saint-Georges-sur-Meuse
Walloon Region,4731,Raeren
Walloon Region,4987,Stoumont
Walloon Region,5140,Sombreffe
Walloon Region,7334,Saint-Ghislain
Walloon Region,4032,Liège
Walloon Region,4218,Héron
Walloon Region,6762,Virton
Walloon Region,6821,Florenville
Walloon Region,6838,Bouillon
Walloon Region,6880,Bertrix
Brussels-Capital Region,1020,Bruxelles
Flemish Region,3321,Hoegaarden
Flemish Region,3798,Fourons
Walloon Region,4171,Comblain-au-Pont
Walloon Region,4550,Nandrin
Flemish Region,3740,Bilzen-Hoeselt
Flemish Region,3770,Riemst
Walloon Region,4452,Juprelle
Walloon Region,7610,Rumes
Walloon Region,4590,Ouffet
Walloon Region,4621,Fléron
Walloon Region,6706,Arlon
Walloon Region,6782,Messancy
Walloon Region,6824,Florenville
Walloon Region,6922,Wellin
Walloon Region,7024,Mons
Flemish Region,8958,Heuvelland
Walloon Region,7041,Quévy
Walloon Region,7621,Brunehaut
Flemish Region,8420,De Haan
